station,easting,northing,elevation
"21377",535254.762,6383216.111,100.000
"21378",535264.707,6383215.067,100.000
"21379",535274.652,6383214.024,100.000
"21380",535284.598,6383212.980,100.000
"21381",535294.543,6383211.936,100.000
"21382",535304.488,6383210.892,100.000
"21383",535314.434,6383209.849,100.000
"21384",535324.379,6383208.805,100.000
"21385",535334.325,6383207.761,100.000
"21386",535344.270,6383206.717,100.000
"21387",535354.215,6383205.674,100.000
"21388",535364.161,6383204.630,100.000
"21389",535374.106,6383203.586,100.000
"21390",535384.052,6383202.542,100.000
"21391",535393.997,6383201.499,100.000
"21392",535403.942,6383200.455,100.000
"21393",535413.888,6383199.411,100.000
"21394",535423.833,6383198.367,100.000
"21395",535433.778,6383197.324,100.000
"21396",535443.724,6383196.280,100.000
"21397",535453.669,6383195.236,100.000
"21398",535463.615,6383194.192,100.000
"21399",535473.560,6383193.149,100.000
"21400",535483.505,6383192.105,100.000
"21401",535493.451,6383191.061,100.000
"21402",535503.396,6383190.018,100.000
"21403",535513.341,6383188.974,100.000
"21404",535523.287,6383187.930,100.000
"21405",535533.232,6383186.886,100.000
"21406",535543.178,6383185.843,100.000
"21407",535553.123,6383184.799,100.000
"21408",535563.068,6383183.755,100.000
"21409",535573.014,6383182.711,100.000
"21410",535582.959,6383181.668,100.000
"21411",535592.905,6383180.624,100.000
"21412",535602.850,6383179.580,100.000
"21413",535612.795,6383178.536,100.000
"21414",535622.741,6383177.493,100.000
"21415",535632.686,6383176.449,100.000
"21416",535642.631,6383175.405,100.000
"21417",535652.577,6383174.361,100.000
"21418",535662.522,6383173.318,100.000
"21419",535672.468,6383172.274,100.000
"21420",535682.413,6383171.230,100.000
"21421",535692.358,6383170.186,100.000
"21422",535702.304,6383169.143,100.000
"21423",535712.249,6383168.099,100.000
"21424",535722.194,6383167.055,100.000
"21425",535732.140,6383166.011,100.000
"21426",535742.085,6383164.968,100.000
"21427",535752.031,6383163.924,100.000
"21428",535761.976,6383162.880,100.000
"21429",535771.921,6383161.836,100.000
"21430",535781.867,6383160.793,100.000
"21431",535791.812,6383159.749,100.000
"21432",535801.758,6383158.705,100.000
"21433",535811.703,6383157.661,100.000
"21434",535821.648,6383156.618,100.000
"21435",535831.594,6383155.574,100.000
"21436",535841.539,6383154.530,100.000
"21437",535851.484,6383153.487,100.000
"21438",535861.430,6383152.443,100.000
"21439",535871.375,6383151.399,100.000
"21440",535881.321,6383150.355,100.000
"21441",535891.266,6383149.312,100.000
"21442",535901.211,6383148.268,100.000
"21443",535911.157,6383147.224,100.000
"21444",535921.102,6383146.180,100.000
"21445",535931.047,6383145.137,100.000
"21446",535940.993,6383144.093,100.000
"21447",535950.938,6383143.049,100.000
"21448",535960.884,6383142.005,100.000
"21449",535970.829,6383140.962,100.000
"21450",535980.774,6383139.918,100.000
"21451",535990.720,6383138.874,100.000
"21452",536000.665,6383137.830,100.000
"21453",536010.611,6383136.787,100.000
"21454",536020.556,6383135.743,100.000
"21455",536030.501,6383134.699,100.000
"21456",536040.447,6383133.655,100.000
"21457",536050.392,6383132.612,100.000
"21458",536060.337,6383131.568,100.000
"21459",536070.283,6383130.524,100.000
"21460",536080.228,6383129.480,100.000
"21461",536090.174,6383128.437,100.000
"21462",536100.119,6383127.393,100.000
"21463",536110.064,6383126.349,100.000
"21464",536120.010,6383125.305,100.000
"21465",536129.955,6383124.262,100.000
"21466",536139.900,6383123.218,100.000
"21467",536149.846,6383122.174,100.000
"21468",536159.791,6383121.130,100.000
"21469",536169.737,6383120.087,100.000
"21470",536179.682,6383119.043,100.000
"21471",536189.627,6383117.999,100.000
"21472",536199.573,6383116.956,100.000
"21473",536209.518,6383115.912,100.000
"21474",536219.464,6383114.868,100.000
"21475",536229.409,6383113.824,100.000
"21476",536239.354,6383112.781,100.000
"21477",536249.300,6383111.737,100.000
"21478",536259.245,6383110.693,100.000
"21479",536269.190,6383109.649,100.000
"21480",536279.136,6383108.606,100.000
"21481",536289.081,6383107.562,100.000
"21482",536299.027,6383106.518,100.000
"21483",536308.972,6383105.474,100.000
"21484",536318.917,6383104.431,100.000
"21485",536328.863,6383103.387,100.000
"21486",536338.808,6383102.343,100.000
"21487",536348.753,6383101.299,100.000
"21488",536358.699,6383100.256,100.000
"21489",536368.644,6383099.212,100.000
"21490",536378.590,6383098.168,100.000
"21491",536388.535,6383097.124,100.000
"21492",536398.480,6383096.081,100.000
"21493",536408.426,6383095.037,100.000
"21494",536418.371,6383093.993,100.000
"21495",536428.317,6383092.949,100.000
"21496",536438.262,6383091.906,100.000
"21497",536448.207,6383090.862,100.000
"21498",536458.153,6383089.818,100.000
"21499",536468.098,6383088.774,100.000
"21500",536478.043,6383087.731,100.000
"21501",536487.989,6383086.687,100.000
"21502",536497.934,6383085.643,100.000
