Filename	Latitude	Longitude
Line 1_Albert Rd NE to SW_GRMN0813_frame_000840_sec_0_00_28.jpg	-32.385323817618215	147.47386164072913
Line 1_Albert Rd NE to SW_GRMN0813_frame_000870_sec_0_00_29.jpg	-32.385446414351485	147.47368516143393
Line 1_Albert Rd NE to SW_GRMN0813_frame_000900_sec_0_00_30.jpg	-32.38556377273055	147.47350759282705
Line 1_Albert Rd NE to SW_GRMN0813_frame_000930_sec_0_00_31.jpg	-32.38567791027943	147.47332871496718
Line 1_Albert Rd NE to SW_GRMN0813_frame_000960_sec_0_00_32.jpg	-32.38579820014534	147.4731393738091
Line 1_Albert Rd NE to SW_GRMN0813_frame_000990_sec_0_00_33.jpg	-32.38591758929194	147.47294841553105
Line 1_Albert Rd NE to SW_GRMN0813_frame_001019_sec_0_00_34.jpg	-32.38603048514571	147.47276632922927
Line 1_Albert Rd NE to SW_GRMN0813_frame_001049_sec_0_00_35.jpg	-32.386141234718266	147.4725730136386
Line 1_Albert Rd NE to SW_GRMN0813_frame_001079_sec_0_00_36.jpg	-32.38625064182845	147.47237760080895
Line 1_Albert Rd NE to SW_GRMN0813_frame_001109_sec_0_00_37.jpg	-32.38635919384472	147.472180995111
Line 1_Albert Rd NE to SW_GRMN0813_frame_001139_sec_0_00_38.jpg	-32.38646271248624	147.47197853209562
Line 1_Albert Rd NE to SW_GRMN0813_frame_001169_sec_0_00_39.jpg	-32.386562461643436	147.47177492348584
Line 1_Albert Rd NE to SW_GRMN0813_frame_001199_sec_0_00_40.jpg	-32.3866602140246	147.47157545082501
Line 1_Albert Rd NE to SW_GRMN0813_frame_001229_sec_0_00_41.jpg	-32.386758811391005	147.47137067403824
Line 1_Albert Rd NE to SW_GRMN0813_frame_001259_sec_0_00_42.jpg	-32.3868589400556	147.47116989527908
Line 1_Albert Rd NE to SW_GRMN0813_frame_001289_sec_0_00_43.jpg	-32.38696282147434	147.47097880246312
Line 1_Albert Rd NE to SW_GRMN0813_frame_001319_sec_0_00_44.jpg	-32.38706765012629	147.47078293934103
Line 1_Albert Rd NE to SW_GRMN0813_frame_001349_sec_0_00_45.jpg	-32.38716789546146	147.47058394030608
Line 1_Albert Rd NE to SW_GRMN0813_frame_001379_sec_0_00_46.jpg	-32.38727363236252	147.47038653489943
Line 1_Albert Rd NE to SW_GRMN0813_frame_001409_sec_0_00_47.jpg	-32.387374363778136	147.47019054469658
Line 1_Albert Rd NE to SW_GRMN0813_frame_001439_sec_0_00_48.jpg	-32.38747876000775	147.46999516757666
Line 1_Albert Rd NE to SW_GRMN0813_frame_001469_sec_0_00_49.jpg	-32.387595856938525	147.46980759753177
Line 1_Albert Rd NE to SW_GRMN0813_frame_001499_sec_0_00_50.jpg	-32.38771094376594	147.4696171419917
Line 1_Albert Rd NE to SW_GRMN0813_frame_001529_sec_0_00_51.jpg	-32.38782464202775	147.4694319524857
Line 1_Albert Rd NE to SW_GRMN0813_frame_001559_sec_0_00_52.jpg	-32.387952848271496	147.46925045612778
Line 1_Albert Rd NE to SW_GRMN0813_frame_001589_sec_0_00_53.jpg	-32.388076873166476	147.4690637772214
Line 1_Albert Rd NE to SW_GRMN0813_frame_001619_sec_0_00_54.jpg	-32.388205919209874	147.4688772361311
Line 1_Albert Rd NE to SW_GRMN0813_frame_001649_sec_0_00_55.jpg	-32.38833520757124	147.46868553080967
Line 1_Albert Rd NE to SW_GRMN0813_frame_001679_sec_0_00_56.jpg	-32.38846796887084	147.46849454809
